"Data Source","World Development Indicators",

"Last Updated Date","2017-10-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Bahamas, The","BHS","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","1521943427.99479","1684290616.27604","1860332198.04688","2056114585.54688","2272038840.49479","2508912442.05729","2736519190.23438","2999173418.09896","3251756712.23958","3543818527.99479","3343605201.5625","3397989232.42188","3279150133.98438","3527302077.21354","2936329807.03125","2501661196.74479","2631376957.16146","2872277655.07813","3279552843.61979","4136804861.32813","4405501999.60938","3999032539.32292","4266923640.36458","4420407096.875","5046829556.38021","5290550045.70313","5385621242.05729","5546356149.86979","5674460762.76042","6056200452.60417","5959528408.20313","5710313764.71354","5491860987.63021","5508765316.79688","5682231719.79167","5931042520.70313","6181541921.22396","6309020119.79167","6606583402.34375","7078566304.6875","7372273462.23959","7565841873.69792","7770469865.88542","7672193265.625","7739929850.26042","8002723121.09375","8204140765.625","8322815484.375","8129378906.25","7789496093.75","7910000000","7958407552.08333","8203535156.25","8204565104.16667","8161307291.66667","8026384114.58333","8046983072.91667",
"Bosnia and Herzegovina","BIH","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2758501862.26045","3332270264.77958","6296580077.19916","8461947179.52191","9782010631.81418","10721083632.4237","11310743278.9328","11808415927.4057","12434262003.1151","12931632491.3659","13720462043.7462","14922131712.6024","15724715108.0111","16625545811.607","17536876413.625","17033588880.6122","17164279813.0968","17320174036.7035","17158544321.7986","17569352813.7062","17759431367.2378","18295041850.0711","18658686733.9338",
"Belarus","BLR","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31616193390.4655","31236799069.8621","28238066359.121","26091973315.7026","23039212437.7608","20643134344.4153","21221142105.7815","23640352305.8701","25626141899.6294","26497430724.1628","28034281706.3079","29358987303.5886","30840226694.8019","33012363282.3727","36792194012.3338","40250660249.4931","44275726274.4425","48083438734.1059","52987949485.032","53093925384.0254","57231904542.8755","60404676194.715","61450517456.8736","62079761417.9989","63149449097.5625","60731096387.1417","59122306886.0236",
"Belize","BLZ","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","98735541.365533","103565957.762842","108633079.853357","114017406.9702","119718140.395677","125620892.346014","131614070.54936","138080431.934065","148253128.666849","155823489.055951","163315004.598581","169781365.983286","187130141.821549","197145148.861389","223878001.813926","231921545.384386","231842643.486651","246904519.418383","266461350.316705","286491307.345121","329942063.261618","334200426.637528","333254117.326075","326235727.913539","332623244.451772","336171833.055644","351549202.475791","390978186.607058","427095173.725132","483005526.280944","534342136.074958","590432257.162776","661495254.210911","703014425.491375","704124757.186046","708659134.575871","718783908.247124","744266083.396219","772108754.582053","839902771.269847","949415695.712415","997035187.469506","1048069026.20692","1145817580.70996","1199103461.03176","1230025245.97225","1286391894.53536","1300597659.20359","1342587389.30728","1352161618.28356","1397113450","1426508029.66176","1481068378.16398","1500530789.22083","1561767961.21965","1597679506.73704","1585237025.47684",
"Bermuda","BMU","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","1236024650.86844","1293870604.52905","1351706620.55154","1366169881.39142","1517951355.21397","1590205839.72223","1818617223.97319","2060039383.27642","2103408633.45069","2175690717.0744","2313026675.95958","2392536967.94565","2435906218.11992","2472047259.93172","2493731885.01891","2587698593.72971","2819001261.32568","2985250053.66029","3028619303.83456","3093673179.09591","3339432263.4166","3418942555.40268","3238237346.34334","3303291221.60469","3319193280.00197","3252693763.06806","3469540013.93931","3599647764.46201","3745657573.382","3762282452.61539","3763005273.45173","3630006239.58401","3627837777.07534","3736983723.34719","3759391169.27049","3924772345.29896","4026835109.98094","4212069525.04015","4376340236.51672","4524376453.24803","4945919646.2653","5303135527.75517","5224766301.37623","5402967729.76868","5528385008.41416","5620941625.4668","5932559093.07918","6101393205.83452","6194616021.02816","5867281536.74729","5744414000","5552579615.57093","5284137923.53055","5151445059.9242","","","",
"Bolivia","BOL","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","4818838337.92097","4919069386.41405","5193072636.16594","5526504333.00169","5791475875.63925","6117247421.40647","6514703077.07346","6964795309.0593","6117247421.40647","6306638235.98099","6275431642.47646","6593177851.70963","7118488339.85737","7527029870.88226","7748292041.93555","8314771040.5752","8698461748.91231","9130881078.736","9318310167.16052","9330735578.50441","9202739037.66105","9228103327.03294","8864632532.69629","8506313289.60134","8489243522.35104","8346930939.40082","8132091172.24542","8332423560.85371","8574855875.85557","8899853935.16865","9312432285.18364","9802873591.5169","9964277908.9969","10389682313.0627","10874596450.5412","11383340205.9752","11879806409.1738","12468356816.9483","13095434713.4455","13151337215.2619","13481147871.4736","13708143321.6724","14048868235.3697","14429780796.4839","15031978201.9893","15696607065.8374","16449574691.7853","17200380149.6269","18257962323.1053","18870882348.149","19649631308.1648","20672216340.1924","21731104039.6498","23207952413.94","24475238843.5128","25664047181.8707","26758341469.4947",
"Brazil","BRA","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","247310662283.768","272724087204.403","286949537646.126","289459406605.959","299548752460.682","308695437352.706","321507410025.781","337310353393.396","375855759983.656","412448426131.431","448619936451.118","499291947869.855","559470618996.975","637677291704.927","695336839630.648","731557463375.625","803179939606.989","840176962228.542","867329041465.823","926014995998.438","1010383853314.77","965994081544.008","971599219248.219","938469692479.613","987919003993.558","1066417682240.15","1151606273747.92","1193059832519.37","1191834885557.38","1230920620284.1","1192733081196.32","1210766456799.68","1205113228273.05","1261333796878.11","1328620300413.35","1387301889795.79","1417927071892.86","1466066102038.4","1471026627286.84","1477926721688.56","1538707417435.78","1560093406615.63","1607727796810.37","1626072083722.29","1719731819479.5","1774799957640.26","1845115804308.01","1957111987492.35","2056813970746.82","2054224996031.67","2208871646202.82","2296661602101.93","2340783923763.47","2411121329014.44","2423272459244.85","2331933197388.04","2248106280710.07",
"Barbados","BRB","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","3268655033.35784","3206550744.4465","3049429498.13928","3064676626.59485","3175005114.59106","3209930429.41191","3373636874.33236","3461351326.46835","3582498740.27798","3711468635.28461","3588990349.56757","3449019426.13134","3252424741.12606","3278444159.3592","3344013046.64723","3411671173.46939","3546987427.1137","3715119897.95918","3854082397.95918","3866641690.9621","4038825546.64723","3943212864.43149","3974408527.69679","4060703024.78134","4117827551.02041","4281098360.05831","4523776311.95335","4603588593.29446","4621819825.07289","4435050983.96501","4446800000","4480426494.1691","4493796064.13994","4490554956.26822","4493390925.65598","4533904774.05248","4604804008.74636",
"Brunei Darussalam","BRN","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","7076283755.04218","7101437330.39971","8532760029.33627","9464255592.2259","10105537880.4547","12385592665.9333","11519009534.2868","9235168243.49102","9600571983.86506","9648715584.89183","9706595966.2633","9561894976.16429","9302244591.12579","9489138760.54273","9593269453.61204","9490220608.72755","9593609020.9021","9895418335.16685","10366299816.6483","10397872753.9421","10724927172.7173","11205265273.194","11527788412.1746","11358194866.1533","11294758342.5009","11639492115.8783","11971150348.3682","12299643564.3564","12775897689.769","13146904070.407","13213206307.2974","13264408434.1768","13847739933.9934","13869146021.2688","13600124165.7499","13360145141.1808","13707370737.0737","14220755408.8742","14350568390.1724","14045471213.788","13715438210.4877","13637697103.0436","13301457674.8771",
"Bhutan","BTN","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","165165439.146861","188136200.88393","194559060.675521","216565078.847304","226271753.354426","235801810.576482","263462722.663821","339066684.688327","355976922.525405","382435357.411604","424030689.295613","422301169.504529","441730787.82885","450505180.615888","472811961.168546","506259233.805762","534433435.297499","563153025.102705","596458068.653373","644079113.976625","688733275.071953","745235395.466464","825183060.874733","888427847.119336","940813179.477384","1007823159.38045","1076852655.51349","1269887377.45454","1330440105.87773","1419010481.1982","1585472534.10547","1710580806.57351","1797336501.23336","1835844373.82886","1941321989.27355","2067340393.88831","2194821361.32011",
