GDP per capita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(1990 Int. GK$) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Byzantium/  Ottoman Empire/ Turkey ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Austria ,Belgium ,Denmark ,Finland ,France,Germany ,(Centre-   North)           Italy ,Holland/     Netherlands ,Norway ,Sweden ,Switzerland ,England/GB/UK,12 W. Europe,Ireland ,Greece ,Portugal ,Spain ,14 small WEC,30 W. Europe ,Australia ,N. Zealand ,Canada,USA,W. Offshoots ,Albania ,Bulgaria ,Czecho-slovakia,Hungary ,Poland ,Romania ,Yugoslavia ,7 E. Europe,Bosnia ,Croatia ,Macedonia ,Slovenia ,Montenegro,Serbia,Kosovo,F. Yugoslavia ,Czech Rep.,Slovakia ,F. Czecho-slovakia,Armenia ,Azerbaijan ,Belarus ,Estonia ,Georgia ,Kazakhstan,Kyrgyzstan ,Latvia ,Lithuania ,Moldova ,Russia,Tajikistan ,Turk-menistan ,Ukraine ,Uzbekistan ,F. USSR ,Argentina ,Brazil ,Chile ,Colombia ,Mexico ,Peru ,Uruguay,Venezuela,8 L. America,Bolivia ,Costa Rica,Cuba,Dominican Rep.,Ecuador ,El Salvador,Guatemala,Haïti,Honduras,Jamaica ,Nicaragua,Panama,Paraguay,Puerto Rico ,T. & Tobago ,15 L. America,21 Caribbean,L. America,China ,India ,Indonesia (Java before 1880),Japan ,Philippines,S. Korea ,Thailand ,Taiwan,Bangladesh,Burma ,Hong Kong,Malaysia ,Nepal ,Pakistan,Singapore ,Sri Lanka,16 E. Asia,Afghanistan,Cambodia ,Laos,Mongolia ,North Korea ,Vietnam,24 Sm. E. Asia,30 E. Asia,Bahrain ,Iran,Iraq ,Israel ,Jordan ,Kuwait ,Lebanon ,Oman,Qatar,Saudi Arabia ,Syria ,,UAE,Yemen ,W. Bank & Gaza ,15 W. Asia,Asia ,Algeria ,Angola,Benin ,Botswana,Burkina Faso,Burundi,Cameroon ,Cape Verde ,Centr. Afr. Rep.,Chad ,Comoro Islands,Congo 'Brazzaville',Côte d'Ivoire,Djibouti,Egypt ,Equatorial Guinea ,Eritrea & Ethiopia ,Gabon,Gambia ,Ghana,Guinea ,Guinea Bissau ,Kenya,Lesotho,Liberia,Libya ,Madagascar,Malawi,Mali,Mauritania ,Mauritius ,Morocco ,Mozambique,Namibia ,Niger,Nigeria,Rwanda,Sao Tomé & Principe,Senegal ,Seychelles,Sierra Leone,Somalia ,Cape Colony/ South Africa ,Sudan ,Swaziland,Tanzania ,Togo,Tunisia ,Uganda ,Congo-Kinshasa,Zambia ,Zimbabwe,3 Small Afr. ,Total Africa ,,Total World,,,,,
1964,7566.930484,8340.770791,10559.57507,7306.733759,8819.33667,8822.353557,6727.938954,9437.195311,8315.945521,10515.37914,14190.7593,9567.965031,8716.86147,4985.684358,4141.154341,3718.3886,4514.937244,5779.48904,8027.549964,9848.904077,10418.41085,9999.364316,12772.56643,12357.48727,1616.472785,3657.38365,5372.45313,4388.01411,3621.887656,2258.200326,3100.406371,3557.056723,2175.816832,4114.873398,3624.380474,5743.939398,2341.039504,3107.734344,1121.832785,3100.406371,,,,,,,,,,,,,,,,,,,4438.893329,5926.126658,2472.177604,4638.288359,2674.903261,3593.684233,3465.159061,4858.068561,9562.093853,3629.409005,1761.924004,2961.427151,2009.386156,1484.133039,2178.762887,2057.889031,2393.11828,940.6483791,1437.603596,2903.972807,2577.669244,2920.046926,1687.188852,4400.941783,6800.615227,2211.982453,3995.908626,3366.85329,644.8181799,821.2278481,977.7393111,5667.690458,1600.187262,1389.651229,1248.641165,1679.127977,588.6091932,612.4489862,4327.170005,1727.593742,626.4775702,757.6035637,2541.268462,1320.071563,1085.447755,720.4839612,673.878877,705.3014228,659.0609089,1253.048369,895.3697731,1758.390874,943.0983016,3072.824395,2526.16752,3115.463756,5916.235526,2980.635139,25302.93621,2534.266203,1075.467963,26465.86405,5004.609533,3636.870144,2496.240396,25675.89542,988.8938056,1602.542373,2911.107346,1168.385374,1805.880178,1509.537123,993.1474859,430.2214267,661.8066591,420.3500817,871.837351,564.1779375,877.8135806,541.9769227,932.1996496,1472.31168,1688.093709,1757.825282,1166.423647,1144.569455,527.4222487,4850.581383,787.3505,1414.296038,421.18799,641.553529,758.3755033,593.206696,1230.974971,4365.656409,1116.310998,358.7609651,556.8057497,826.6984373,3282.968766,1380.508178,1349.365478,3485.670872,888.1067742,910.1367698,525.4413325,1111.901797,1499.380949,2488.232002,882.7222473,1190.845986,3449.938982,944.2045901,1399.395885,494.3246851,840.8875361,1588.850255,784.8438803,747.3747421,996.2543519,953.4382292,971.5388927,1148.672754,,3117.647736,,,,,
1965,7734.129898,8559.392894,10953.3217,7669.600231,9165.415044,9185.72917,6963.939321,9797.835991,8689.788208,10815.18261,14503.6177,9751.536339,9008.826511,5051.460362,4508.947195,3992.397728,4762.235585,6134.723653,8315.698894,10151.85783,10878.65475,10472.91669,13418.70172,12966.95813,1675.446942,3849.958832,5532.700983,4409.528212,3786.838577,2386.121918,3124.517689,3674.025991,2239.034401,4209.314503,3281.015272,5722.685209,2384.833463,3147.765678,1139.938743,3124.517689,,,,,,,,,,,,,,,,,,,4633.651999,6370.747338,2448.391865,4577.138538,2688.808831,3701.974279,3593.958473,4859.767416,9841.487428,3709.000527,1805.717934,3126.501995,1988.369657,1258.841251,2184.067847,2100.831982,2446.902655,931.3629702,1506.552365,3069.657482,2734.246234,3085.276872,1738.563061,4718.932029,7030.039766,2249.919739,4133.802528,3439.519829,701.593294,770.7505155,990.4271286,5933.747612,1633.152095,1436.335133,1307.873145,1810.355632,607.9032498,616.7074918,4825.036827,1804.065527,630.5239895,770.6243367,2667.337962,1329.494013,1114.691078,719.5929035,687.3256127,711.7853885,678.7745368,1294.997258,876.7426186,1802.6403,944.683735,3173.460426,2753.146771,3287.802956,6272.371283,3183.422776,23532.89711,2706.068554,1053.25846,25785.06118,5469.295352,3511.939976,2504.10648,26164.28399,996.3309617,1676.396997,3033.266717,1201.39024,1869.675501,1595.772236,1019.730302,436.8199461,681.5049748,424.7979256,873.5883721,574.7202727,866.0096982,533.1108799,912.9026274,1486.284095,1580.739941,1754.442212,1213.410078,1285.433468,547.1908555,4860.1171,845.8111429,1392.622697,441.8540014,685.2528444,742.7591502,593.3613131,1217.787977,5378.224749,1088.023699,397.1257024,553.0767741,928.3326104,3301.993457,1393.984454,1350.91803,3625.567172,934.9079758,943.5945477,548.4234527,1164.635833,1510.626633,2434.598457,931.5092961,1088.193979,3559.359607,984.2658994,1576.691965,497.0803493,931.5696519,1652.855061,778.9359162,737.9938824,1147.402753,983.5074677,969.7529439,1181.084116,,3217.806319,,,,,
1966,8112.327859,8775.952376,11159.77071,7824.497928,9544.13579,9387.599086,7366.023312,9936.249478,8945.219909,10935.60286,14727.31821,9885.310104,9265.85407,5080.443828,4749.089556,4163.995257,5059.753682,6378.969437,8571.797529,10241.28271,11362.02117,10946.13511,14133.52666,13623.52115,1738.263986,4125.289373,5740.616136,4646.148813,3991.394903,2642.923207,3332.402904,3894.001109,2390.414239,4485.431864,3529.898192,5985.595829,2476.989141,3392.673396,1240.632906,3332.402904,,,,,,,,,,,,,,,,,,,4803.707521,6320.604235,2526.735226,4984.453509,2750.064421,3812.532565,3788.35916,4974.263259,9677.244786,3785.458642,1891.027542,3258.491383,2051.265097,1383.966718,2171.578906,2171.851854,2530.456329,906.91553,1538.337882,3128.979903,2735.840338,3219.38163,1712.062885,4993.209935,7234.379839,2314.026776,4278.007691,3514.660708,746.3162905,762.0343434,964.7351056,6505.531579,1653.9047,1569.336866,1412.225782,1915.601218,603.5347378,580.2213613,4864.872311,1846.299366,662.9903605,811.5509138,2891.335815,1283.56727,1164.826973,709.7114237,699.6747781,718.9034184,698.5885296,1414.993304,859.2057401,1844.143805,957.8720607,3282.853154,2939.920502,3348.518209,6190.1225,3137.391629,24049.69384,2804.477559,1079.723391,31781.54607,6101.910012,3138.766996,2734.765341,26482.799,1007.392452,1808.149406,3211.079229,1256.486055,1725.158514,1660.177842,1031.823344,472.5634201,678.6073666,433.0569628,897.77572,584.7437299,842.7701746,512.375686,983.780341,1526.577225,1628.343018,1761.411506,1192.014059,1322.415925,556.8433104,5002.835543,955.1164466,1354.225283,442.965285,728.3306058,811.5382868,577.3341612,1408.268329,6107.118084,1087.181421,426.0791333,564.3735126,920.0011235,3107.985812,1436.040424,1364.053351,3668.38747,903.7428383,886.8870605,570.4878826,1232.692142,1508.115049,2434.444,975.9252489,1215.987961,3614.99992,946.7130279,1601.842634,544.2578211,991.3861537,1654.119511,803.2884507,768.1383878,1056.232268,967.3901827,971.5994021,1184.048989,,3325.688369,,,,,
1967,8296.735339,9071.835923,11436.51319,7946.598856,9907.186575,9396.681114,7872.31376,10341.25909,9422.753223,11219.21522,15010.3909,10048.89099,9512.57413,5351.884418,4950.64442,4481.160057,5334.110597,6578.717499,8819.818505,10732.74651,10681.96397,11078.26999,14330.0304,13815.95638,1803.690201,4319.743063,5964.252451,4893.938298,4102.903944,2743.146904,3373.998772,4022.585288,2335.770865,4608.820184,3647.515811,6124.969715,2506.213237,3426.207121,1248.808385,3373.998772,,,,,,,,,,,,,,,,,,,4962.963194,6398.951785,2553.97447,5045.805815,2784.250396,3922.404571,3830.550106,4720.621092,9921.570017,3842.731935,1962.053276,3348.614007,2247.604595,1387.206092,2252.692769,2215.948582,2581.343586,870.1663933,1568.367758,3178.234761,2834.643981,3388.151856,1773.613026,5263.950658,7326.942004,2396.375753,4430.188921,3578.018529,706.9206812,807.013834,934.4128412,7152.293623,1690.094636,1644.651688,1485.763874,2070.356612,578.375846,585.5303475,4824.057161,1830.351876,640.7564051,819.862188,3162.924757,1368.450893,1196.386469,711.9105742,716.6127148,725.8590173,720.3131796,1482.99807,730.5155521,1862.775022,908.0562068,3401.927214,3176.472574,3163.714738,6221.567711,3059.04258,22408.99023,2591.952995,1749.251053,34860.38682,6462.871151,3291.034123,2794.771604,26610.42987,1018.901889,1767.502161,3319.983944,1288.889183,1824.169766,1727.308918,1016.287898,512.9762713,731.0268673,461.5674148,905.3036002,593.779447,857.8659639,504.6293449,999.0970364,1568.517893,1573.668207,1758.009998,1151.260293,1393.036357,568.5669282,5129.757921,956.8407564,1338.987482,448.3827782,770.5219,826.0693113,626.2571499,1360.006128,6545.499607,1123.049815,455.0951087,570.5978777,937.923196,3180.409336,1479.523498,1424.88845,3429.85541,888.5261098,727.6382397,594.1796406,1285.546781,1448.856388,2381.156379,954.8921247,1257.860168,3760.416515,892.859312,1709.255665,549.3637343,1019.331462,1605.128458,821.5699444,737.7492593,1107.130519,1014.526872,964.547942,1176.617665,,3381.148318,,,,,
1968,8620.569914,9415.524828,11836.74727,8092.997057,10267.01807,9864.450073,8382.405286,10894.34076,9551.198519,11561.2306,15373.77691,10409.95037,9929.75252,5769.613734,5265.786233,4873.368769,5588.174071,6739.457128,9215.48788,11148.30527,10545.4875,11479.06409,14862.93883,14320.45726,1868.785103,4368.032415,6222.506751,4934.100518,4317.452051,2739.176163,3464.618714,4141.028534,2414.972925,4787.54024,3728.509616,6458.753731,2610.056693,3464.521215,1190.956854,3464.618714,,,,,,,,,,,,,,,,,,,5201.89985,6577.756622,2704.245082,5127.644877,2873.681856,4072.57421,3685.476114,4747.160833,10249.34707,3974.281868,2078.728332,3497.152232,2079.929908,1348.564024,2274.32473,2209.528817,2750.644202,886.134068,1603.172692,3283.905746,2783.39332,3531.343874,1788.646818,5463.111468,7683.633653,2421.576941,4583.627961,3690.543359,674.914462,808.7007722,1017.906571,7983.313409,1721.701238,1812.050068,1561.445589,2185.874407,619.2724072,612.4072851,4879.953717,1942.198251,633.2193219,854.0922959,3540.258449,1436.623609,1241.053201,719.4731305,729.9245549,732.9976417,741.7442845,1632.965322,699.2824363,1923.141141,923.4105569,3520.274249,3550.266678,3603.772116,7033.192018,2673.673698,22300.19537,2831.140103,3093.549273,36392.84592,6848.093973,3305.648769,2916.74822,26374.44237,1028.12917,1635.004398,3577.699012,1343.116892,1977.430946,1672.216424,1028.994222,557.093621,745.6822529,447.0919399,945.7651181,602.3753328,847.4082872,491.5698294,973.4632278,1610.165567,1729.618151,1746.092622,1145.774931,1423.814532,566.2332215,5176.174477,939.3290464,1318.428901,453.3813601,794.147438,857.1853793,609.8403122,1384.304283,8395.474569,1173.669256,437.2797229,579.3394229,1005.552578,2907.044425,1524.119349,1548.67679,3369.212609,876.5100146,699.1182524,618.1947692,1336.972871,1499.014753,2521.634655,1032.468112,1251.691195,3818.855426,922.5584816,1588.393812,560.6952258,1042.978504,1734.980397,817.6631328,745.9873392,1092.180579,999.2619615,950.5875536,1204.412991,,3493.899719,,,,,
1969,9131.097674,10018.20508,12530.55041,8877.575406,10885.56441,10440.36049,8879.374047,11462.13004,9899.294776,12055.19062,16030.90792,10551.68497,10419.07233,6089.349193,5766.141663,4986.58928,6032.041152,7154.326397,9689.402717,11560.99528,11511.20674,11912.35222,15179.40862,14656.64115,1932.253052,4545.745121,6353.893729,5062.160961,4241.267479,2823.873774,3765.288994,4228.307297,2592.369752,5125.400444,4076.093189,7027.002785,2852.32074,3834.612178,1280.316879,3765.288994,,,,,,,,,,,,,,,,,,,5225.29824,7037.280383,2859.841815,5220.438323,2976.452312,4185.48456,3676.48549,4990.972065,10262.42278,4127.484628,2119.61125,3622.191927,2020.888611,1452.723776,2259.110336,2205.998714,2821.199767,896.3346076,1559.217107,3480.38539,2875.268865,3698.967083,1809.5657,5840.428002,7896.756452,2468.43887,4755.429472,3824.685626,712.9738388,844.7485822,1105.039619,8874.088897,1749.873136,2040.007608,1636.062887,2334.15493,614.9339477,625.7044757,5344.858821,2005.38289,649.1605986,885.4464829,3964.749082,1461.017152,1327.665581,713.1226109,722.0938758,740.2742567,763.5285397,1838.975929,739.0580556,1960.546659,978.7421922,3645.56655,3897.280155,3604.130364,7722.621573,2772.97504,20963.20773,2809.631103,3782.483626,35280.24296,7169.782579,3800.849858,3002.061523,25495.04768,1040.420178,1730.286738,3786.125874,1434.760332,2105.494175,1691.44869,1032.934515,601.4508725,751.8153066,433.7650886,972.8466544,610.73245,872.0200836,514.0662614,962.702875,1653.110895,1716.960467,1742.087921,1201.165922,1363.816889,574.801441,5518.205767,1007.34133,1325.199211,457.9658858,832.9167257,880.7671908,604.9195723,1441.803146,9042.763969,1191.526295,452.5259185,564.0085084,974.5679576,3005.795025,1569.617626,1693.027691,3396.147278,832.034002,861.3022645,665.8262849,1388.850692,1361.689158,2455.265738,1108.816134,1071.131201,3946.183725,953.6088809,1612.23424,553.9301711,1125.647234,1759.935075,880.9385989,792.0938764,1056.252655,1085.786472,947.4812789,1265.232241,,3612.906251,,,,,
1970,9747.443648,10610.82405,12685.55135,9576.869279,11410.08899,10839.14509,9366.59635,11966.77341,10027.23087,12716.34257,16903.62215,10767.47196,10853.3675,6199.450866,6210.645384,5472.899759,6319.133697,7398.818606,10108.48264,12023.54473,11189.33541,12050.49052,15029.84609,14560.48184,2003.536581,4773.223454,6466.339873,5027.915451,4427.795779,2852.907143,3945.465582,4350.267481,2666.959974,5463.635529,4352.791183,7641.208961,3047.122271,3923.821481,1344.511697,3945.465582,,,,,,,,,,,,,,,,,,,5575.010393,7301.966217,3056.71891,5231.429389,3094.216436,4319.645997,3854.223516,5184.05374,10671.76228,4308.947049,2176.374954,3753.911645,1917.41625,1561.47017,2334.892521,2186.793388,2918.693009,919.1807972,1556.146234,3848.67272,2811.632784,3813.7525,1871.781362,6348.847104,8243.979058,2530.851099,4948.105678,3985.174471,778.3518572,867.9926063,1230.74516,9713.951433,1764.1316,2167.333519,1694.271348,2537.021745,629.7660841,641.5878992,5695.377621,2079.152237,653.3442719,951.5422375,4439.126983,1498.725703,1420.12064,709.4576032,646.998367,747.6665738,787.1112536,1954.010314,735.026849,2082.47063,997.5970124,3787.892874,4188.820588,3472.706264,8100.623187,2395.483117,30694.5667,2916.627735,3798.535548,32573.31271,7623.636279,3540.30674,3078.187374,24552.41148,1229.967834,1864.963504,3998.676074,1530.401718,2249.219713,1767.68839,1027.412847,647.2691285,744.7519295,540.186048,981.8406776,618.9589509,890.5262907,512.9803892,1008.820153,1696.305014,1807.987832,2069.079324,1254.104624,1309.002163,594.7475864,5869.355307,878.8945826,1423.972994,464.9434411,871.5591975,914.9532665,604.0794545,1491.516686,9114.819109,1226.199684,447.4526698,585.6927565,1058.629379,2945.378575,1616.227012,1742.851632,3321.440505,838.9474804,1094.05343,716.7669747,1439.611033,1435.173578,2569.974813,1128.907082,1138.275989,4045.147592,888.1811941,2035.584319,568.3566088,1075.366918,1826.876021,867.2959866,768.4214867,1073.114855,1282.428839,936.7217784,1335.241673,,3725.456118,,,,,
1971,10200.14447,10969.55286,12933.58258,9764.698434,11844.96109,11076.76885,9489.247578,12319.36938,10472.39164,12748.43085,17381.03537,10941.47423,11110.52864,6353.624551,6623.911396,5870.785111,6618.471395,7840.717465,10378.15989,12289.52169,11576.18335,12561.92569,15304.29883,14855.71685,2083.621474,4901.828688,6658.353235,5238.142085,4706.959578,3221.038626,4221.895618,4608.700379,2817.425176,5878.217577,4578.608002,8150.3194,3132.838037,4256.336845,1387.75269,4221.895618,,,,,,,,,,,,,,,,,,,5667.245013,7529.937018,3278.47148,5597.308919,3194.2593,4364.887462,3915.818489,5130.143147,10446.30622,4450.677197,2204.421234,3889.37051,2036.535606,1679.57855,2409.285567,2222.171313,3012.256267,969.4656489,1562.389482,3803.230484,2855.982541,4010.165184,1901.735417,6642.448991,8271.587606,2612.417276,5134.646622,4117.100128,794.9613901,856.2057762,1247.227695,10040.32422,1807.715144,2332.360186,1724.67857,2804.064056,586.4382369,649.889126,5968.407782,2180.4918,632.9255558,930.84495,4904.160159,1457.097862,1442.015718,658.6984392,615.2962429,755.1543676,811.1266947,2522.106635,754.0863944,2187.747785,1099.456101,3982.619077,4576.776471,3566.681436,8711.19549,2365.673736,30929.91698,3000.53847,3716.156494,37472.89303,8475.485776,3758.859398,3281.741885,24805.56545,1413.904807,1909.330986,4304.503222,1570.078778,1999.65351,1728.32858,1005.593419,747.1985386,765.1247781,570.5712349,989.9706864,566.3582995,844.1327013,511.8231677,1154.16392,1786.382521,1803.445697,2141.790192,1283.072476,1186.135716,606.7357274,6332.427425,948.5997339,1490.712433,470.1619792,833.2221355,940.7495209,535.4220391,1519.342777,8251.736201,1245.748172,498.3219572,592.6419086,1051.430309,3047.333893,1664.522109,1815.829883,3314.263213,867.1059,1187.569494,704.5046261,1482.767833,1390.27049,2909.785962,1101.091761,1141.264383,4134.925193,923.1019448,2014.66667,574.3338449,1125.630072,1982.174174,869.2658492,795.3247396,1042.137582,1353.227823,998.1020937,1359.802983,,3797.309415,,,,,
1972,10770.65683,11502.50796,13538.35527,10447.53955,12263.54596,11480.84899,9795.126256,12597.19334,10921.91585,13001.75197,17774.3931,11293.92464,11497.22062,6662.809152,7399.904687,6355.422526,7099.291775,8256.326328,10784.79036,12404.41679,11850.39773,13072.49433,15943.86744,15450.01623,2165.203166,5110.178653,6858.415236,5335.764078,5009.785534,3396.220036,4358.663208,4809.417466,2923.536197,6013.53089,4739.554529,8515.679895,3265.594879,4414.707158,1413.393487,4358.663208,,,,,,,,,,,,,,,,,,,5642.894087,7634.565559,3537.878938,5428.560219,3355.248595,4601.933535,3929.643776,4944.997855,10245.36264,4619.763167,2260.466347,4118.168995,2095.603072,1836.95047,2677.05389,2298.133189,3160.072595,995.028102,1563.160802,3857.598257,2862.236979,4109.461967,1946.364797,6930.483026,8627.982596,2729.573042,5304.335464,4277.07938,798.3318446,833.8024691,1364.044799,10733.59956,1853.359576,2456.469184,1748.287313,3113.396624,505.5676107,642.1273619,6472.532012,2289.480138,640.400041,913.4101514,5459.951682,1459.775659,1481.318317,629.9954279,577.1419063,762.7168101,835.289663,2560.948705,802.0375943,2247.498694,1128.208861,4197.907471,5173.565354,3322.585018,9477.867,2355.098167,30290.85627,3176.427937,3934.302182,39156.57496,9496.576769,4543.515222,3412.134542,24805.61528,1494.545247,1977.701544,4649.843077,1624.969495,2349.833114,1711.728094,1065.310645,955.9314273,786.1274332,518.7042907,1010.746616,536.1671883,807.9949164,466.9839756,1031.875013,1882.001893,1811.421894,2150.448221,1283.9192,1023.043699,623.7859916,6891.674458,984.5829129,1401.535517,470.6103065,883.2002602,955.5400973,623.6731506,1530.390631,6978.872894,1201.754292,534.1436985,609.305537,1047.285739,3309.014711,1669.020514,1822.804363,3386.808071,804.108469,1196.624231,686.7630652,1423.069391,1435.654099,3025.571006,1071.847386,1228.333916,4109.420563,877.8664138,2200.972943,593.2538365,1138.030739,2287.036224,856.4962413,774.827809,1104.900746,1423.27382,1085.908252,1373.606114,,3900.716668,,,,,
1973,11234.60427,12169.96632,13945.4278,11085.10547,12824.4239,11966.46444,10413.54967,13081.2409,11324.42307,13493.56071,18203.56771,12025.2802,12069.88484,6866.783808,7655.318809,7062.984977,7661.342131,8626.679048,11346.28934,12878.09034,12424.22217,13837.89534,16689.34307,16178.71785,2273.048945,5284.370923,7041.268893,5595.510333,5339.545055,3476.708926,4533.101225,5019.748586,3012.284719,6224.391562,4969.099175,8999.37701,3223.052869,4624.240853,1438.466158,4533.101225,,,,6152.236807,4434.158261,5232.846116,8657.27838,5932.011977,7624.889326,3726.796492,7846.0201,7592.855574,5365.022155,6581.858547,4094.945753,4825.645556,4923.935538,5096.848255,6059.251047,7961.973879,3880.121337,5033.680306,3499.379758,4852.590122,4022.842728,4974.392359,10625.0423,4874.289989,2356.876385,4318.583695,2245.106431,2005.1508,3258.336169,2342.32557,3297.215818,1024.930748,1580.996847,4130.37468,2921.479997,4248.192771,2037.504642,7301.758038,8685.135654,2904.571712,5552.852608,4517.357803,838.3949021,853.1586207,1544.262779,11433.80206,1963.516602,2824.259678,1873.61864,3447.909926,497.3150074,627.7421174,7105.113232,2559.967814,624.8394664,953.6974865,5977.200182,1492.098886,1565.661175,684.0618506,777.3691879,770.1080464,860.2308654,2824.310773,836.0500551,2396.093521,1223.104349,4375.859813,5462.028223,3753.314191,9644.970545,2388.458437,26688.74779,3154.784837,3278.849266,42916.23503,11039.71053,4017.397433,3476.520359,24887.07297,1640.040102,2052.675585,4855.145452,1716.892449,2356.540808,1789.470697,1061.455539,1122.664568,734.5274415,554.4806858,1003.053138,528.8360718,828.0689583,434.7822801,889.20732,1980.960252,1865.931437,2185.018736,1294.357285,1065.237504,630.0166098,7288.658277,996.9340174,1397.36964,481.7749416,881.8603747,969.92388,768.6742767,1447.490515,6664.1613,1143.602222,562.4797829,581.060379,965.5133922,3680.001837,1694.279301,1872.938133,3401.304776,652.4518397,1261.655332,687.5432974,1355.117486,1315.158168,3251.491004,1087.144935,1176.3494,4175.194454,779.6586141,2257.565181,592.5225056,1067.101231,2220.868816,834.6746909,818.5201606,1061.891612,1431.868215,1173.092012,1386.560388,,4080.997364,,,,,
1974,11657.79142,12642.96976,13751.22218,11361.29608,13112.53492,12063.03152,10913.87795,13497.42374,11726.19884,13884.58635,18414.39628,11858.90367,12271.34897,7042.442865,7349.679866,7047.690228,8149.433297,8560.34316,11552.00111,12985.12402,12879.28329,14204.68902,16491.26974,16053.07629,2281.522696,5413.867295,7242.837661,5715.815244,5600.608091,3636.865806,4873.407054,5238.104157,3206.872644,6735.119981,5189.340487,9799.6734,3384.195271,4981.309149,1580.303456,4873.407054,,,,,,,,,,,,,,,,,,,6175.796492,8334.083602,4080.936505,4991.985694,3617.679464,5012.783638,4119.337631,5123.294129,10507.49958,5043.092026,2418.144213,4430.134411,2324.080785,2066.536754,3369.622109,2435.933685,3426.121601,1074.595503,1745.288426,3908.464203,3235.468843,4230.228471,2143.114636,7246.934109,9052.969567,2994.588304,5568.915182,4673.043416,835.146332,843.4165261,1548.877501,11144.5202,1978.541451,3015.248472,1910.005001,3421.978162,547.2572973,648.4527825,7090.702843,2688.244707,651.1736021,961.9981847,6275.899184,1516.737497,1549.725664,702.8715206,657.9296621,777.0731409,886.2113218,2840.892963,783.4158222,2471.393575,1196.709761,4573.814478,5777.705538,3824.925072,10025.23282,2506.075777,21933.55004,3502.174917,3541.452917,36131.90702,12332.50383,4820.966043,3665.355746,28449.08132,1695.963014,2146.818923,5151.146941,1717.575799,2427.527966,1710.56596,955.2662055,1299.569417,710.2942967,541.5173635,1024.04242,511.7679923,787.3706134,484.0099199,1054.931069,2083.905274,1839.072842,2080.009917,1316.520686,1128.216618,623.0984364,9544.425868,1156.538962,1454.934515,505.6045649,912.40673,981.437561,796.660652,1507.513447,5379.021977,1139.42594,582.4161644,553.9221959,1046.197873,4020.260416,1750.827044,1683.946267,3424.671769,693.3991191,1366.915281,700.1511388,1355.642863,1329.477436,3244.758899,1112.854126,914.2211293,4299.371783,832.7041745,2443.341867,587.6843454,1086.823959,2343.086714,817.009231,823.4555357,1114.36745,1427.290408,1244.037397,1413.732703,,4096.887218,,,,,
1975,11646.40846,12440.78491,13621.12517,11441.30275,12957.20508,12040.6076,10618.98248,13373.62795,12271.31779,14183.33929,17224.01812,11847.08708,12157.6209,7316.274825,7721.513922,6517.204702,8346.301907,8356.528509,11464.88864,13169.83023,12488.61377,14316.26252,16283.63268,15891.65366,2289.472184,5830.80839,7399.328733,5804.765781,5807.869852,3761.370441,5003.737798,5408.112371,3292.275866,6900.649415,5363.348499,10267.89919,3458.319215,5086.152525,1671.283338,5003.737798,,,,,,,,,,,,,,,,,,,6134.712567,8122.497305,4187.382323,4273.292655,3620.601036,5158.34022,4325.977121,5417.018284,10471.64782,5085.017045,2515.914728,4396.00719,2404.286554,2111.320612,3456.171213,2503.697332,3411.844332,1034.804226,1731.909265,3844.876594,3128.880827,4195.540309,2218.793829,6946.214197,9117.804497,3008.702936,5638.574363,4710.377737,871.1810955,897.3360791,1514.799732,11343.78106,2033.297726,3161.701766,1958.71972,3521.573999,529.3060829,663.4244523,6990.536421,2648.422396,647.4806746,977.6668908,6430.213029,1527.447943,1590.338494,720.6330532,579.6081518,783.5835296,912.423907,2840.967343,709.9293405,2446.063758,1155.467196,3922.257373,5882.512089,4315.30502,10147.87112,2582.962025,18161.66463,3460.401795,4267.115204,34421.31852,11787.04212,5570.152063,3894.788718,25465.00183,1783.548209,2228.685259,5310.330308,1762.676241,2521.953389,1072.814251,969.3176775,1223.490389,669.5149488,534.8576891,1051.615203,524.7420653,781.7991411,555.2524444,804.0619885,2191.114392,1763.65376,2065.444501,1420.783035,1294.000713,609.6672388,9405.723,1049.605977,1246.927994,516.539238,925.0668815,941.8482627,714.9355165,1247.962857,5515.242415,1126.289608,586.1969029,616.2007683,961.9906073,3969.069216,1830.9669,1403.620118,3333.924753,658.8745739,1286.896158,805.6487627,1421.44669,1396.079411,3307.084852,1124.54612,1201.617047,4270.851175,910.0480884,2461.907646,600.2675316,1055.552819,2446.059069,779.8302604,760.631119,1040.743497,1401.810875,1423.782128,1395.368455,,4086.237994,,,,,
