GDP per capita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(1990 Int. GK$) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Byzantium/  Ottoman Empire/ Turkey ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Austria ,Belgium ,Denmark ,Finland ,France,Germany ,(Centre-   North)           Italy ,Holland/     Netherlands ,Norway ,Sweden ,Switzerland ,England/GB/UK,12 W. Europe,Ireland ,Greece ,Portugal ,Spain ,14 small WEC,30 W. Europe ,Australia ,N. Zealand ,Canada,USA,W. Offshoots ,Albania ,Bulgaria ,Czecho-slovakia,Hungary ,Poland ,Romania ,Yugoslavia ,7 E. Europe,Bosnia ,Croatia ,Macedonia ,Slovenia ,Montenegro,Serbia,Kosovo,F. Yugoslavia ,Czech Rep.,Slovakia ,F. Czecho-slovakia,Armenia ,Azerbaijan ,Belarus ,Estonia ,Georgia ,Kazakhstan,Kyrgyzstan ,Latvia ,Lithuania ,Moldova ,Russia,Tajikistan ,Turk-menistan ,Ukraine ,Uzbekistan ,F. USSR ,Argentina ,Brazil ,Chile ,Colombia ,Mexico ,Peru ,Uruguay,Venezuela,8 L. America,Bolivia ,Costa Rica,Cuba,Dominican Rep.,Ecuador ,El Salvador,Guatemala,Haïti,Honduras,Jamaica ,Nicaragua,Panama,Paraguay,Puerto Rico ,T. & Tobago ,15 L. America,21 Caribbean,L. America,China ,India ,Indonesia (Java before 1880),Japan ,Philippines,S. Korea ,Thailand ,Taiwan,Bangladesh,Burma ,Hong Kong,Malaysia ,Nepal ,Pakistan,Singapore ,Sri Lanka,16 E. Asia,Afghanistan,Cambodia ,Laos,Mongolia ,North Korea ,Vietnam,24 Sm. E. Asia,30 E. Asia,Bahrain ,Iran,Iraq ,Israel ,Jordan ,Kuwait ,Lebanon ,Oman,Qatar,Saudi Arabia ,Syria ,,UAE,Yemen ,W. Bank & Gaza ,15 W. Asia,Asia ,Algeria ,Angola,Benin ,Botswana,Burkina Faso,Burundi,Cameroon ,Cape Verde ,Centr. Afr. Rep.,Chad ,Comoro Islands,Congo 'Brazzaville',Côte d'Ivoire,Djibouti,Egypt ,Equatorial Guinea ,Eritrea & Ethiopia ,Gabon,Gambia ,Ghana,Guinea ,Guinea Bissau ,Kenya,Lesotho,Liberia,Libya ,Madagascar,Malawi,Mali,Mauritania ,Mauritius ,Morocco ,Mozambique,Namibia ,Niger,Nigeria,Rwanda,Sao Tomé & Principe,Senegal ,Seychelles,Sierra Leone,Somalia ,Cape Colony/ South Africa ,Sudan ,Swaziland,Tanzania ,Togo,Tunisia ,Uganda ,Congo-Kinshasa,Zambia ,Zimbabwe,3 Small Afr. ,Total Africa ,,Total World,,,,,
1808,,,,,,,1563.336423,1639.615348,,802.9335879,,2038.881087,,,,,,,,,,,1285.625237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,825.3320512,,,,,,,,,,,,,,,,,,
1809,,,,,,,1572.045818,,,766.2756758,,2075.633761,,,,,,,,,,,1349.443303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,806.4206368,,,,,,,,,,,,,,,,,,
1810,,,,,,,1450.114286,,,827.9533012,,2181.734548,,,,,,,,,,,1387.528278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,891.3809555,,,,,,,,,,,,,,,,,,
1811,,,,,,,1402.212613,,,889.4063899,,2130.908747,,,,,,,,,,,1415.320017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,706.9593408,,,,,,,,,,,,,,,,,,
1812,,1478.910413,,,,,1432.695496,,,832.5633872,,2012.170123,,,,,,,,,,,1390.616249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,716.1269743,,,,,,,,,,,,,,,,,,
1813,,,,,,,1471.887774,,,848.4756835,,2088.210847,,,,,,,,,,,1406.056104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901.7075863,,,,,,,,,,,,,,,,,,
1814,,,,,,,1489.306564,,,855.0080059,,2010.185147,,,,,,,,,,,1432.818519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,912.9586693,,,,,,,,,,,,,,,,,,
1815,,,,,,,1423.986101,1876.465787,,884.801898,,2188.825674,,,,,,,,,,,1426.642577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,507.3906647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,758.7291343,,,,,,,,,,,,,,,,,,
1816,,,,,,,1402.212613,1787.621661,,902.0599831,,2039.493154,,,,,,,,,,,1369.000453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550.8149486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,790.9903506,,,,,,,,,,,,,,,,,,
1817,,,,,,,1415.276706,1805.142906,,875.982396,,2041.288679,,,,,,,,,,,1367.971129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543.4447257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,822.3168345,,,,,,,,,,,,,,,,,,
