"Data Source","World Development Indicators",

"Last Updated Date","2017-10-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Bosnia and Herzegovina","BIH","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3746229486.34497","4619831394.55847","8888887673.58535","12150190077.3717","14198050241.6812","15799197388.9696","17047440444.0388","17883797738.2357","19310597475.4628","20213903509.5926","22092900932.7021","24402822849.5756","27908134762.1276","30795442599.8842","33876707728.832","33746413878.873","34678919108.0667","36495336684.3689","37103710618.5857","39010434430.7005","39980086846.3264","41325026370.9068","42464682288.8855",
"Belarus","BLR","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55014542633.7209","56163560374.1603","51929228775.4551","49124239084.1722","44299816989.7223","40520496062.4437","42415505510.3744","48059573554.8066","52661959073.1117","55285763680.7516","59823342709.6417","64077914194.3265","68344121150.7093","74616535568.2982","85446603457.398","96486386862.4669","109395776516.108","121965582416.865","137042597972.304","138359513797.734","150964388843.489","162623060502.26","168486167960.968","172960367551.531","179090579328.336","174085260649.41","171702513121.802",
"Belize","BLZ","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","626088356.513989","714836074.299981","819128296.239966","891253862.240976","911658519.578756","936666055.126102","967392056.791816","1018831759.2803","1068416383.20921","1180013129.22355","1364224761.07324","1465298343.85006","1563946042.53145","1743902597.01416","1875184702.30321","1985433465.42776","2140210222.26534","2221431983.99902","2338133534.1686","2372690403.7659","2481511350.03126","2586033030.36327","2734400316.62323","2815073567.89052","2982414224.17405","3083818593.75543","3100043338.41707",
"Bermuda","BMU","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1554988500.09769","1549957914.21421","1584342981.69336","1670838770.57534","1716628217.20874","1829523585.14358","1911367369.49348","2033508194.31502","2135744469.81497","2241778544.64523","2506413532.19836","2748681686.01862","2749634057.3413","2900115311.49629","3049030896.26684","3199827284.68298","3480978665.79403","3675320493.92403","3804672577.23871","3630994134.05189","3598375440.29922","3550019929.12843","3440624524.06218","3408396102.46194","","","",
"Bolivia","BOL","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16428348865.1178","17869169615.4946","18577429059.8563","19831430419.8189","21198752964.1764","22653311223.7107","24072883762.9773","25697924708.5643","27283279111.0135","27819051784.0502","29165604150.0362","30332541008.4975","31563692397.132","33065954261.1355","35393060315.0351","38147113648.2302","41205235130.8427","44232621785.9186","47873330022.2333","49856209963.9535","52547684328.3957","56423688392.2173","60406456609.646","65553554781.0873","70370878913.9873","74582834935.1021","78785688296.9406",
"Brazil","BRA","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","998580461904.443","1047418788940.29","1066293211085.6","1142591043838.45","1229156151324.56","1310213182315.97","1363583258025.24","1434007401512.97","1454474765595.23","1483659771918.62","1579825656914.56","1638286185076.12","1714225670184.82","1768357755782.59","1921638611571.74","2046983381568.72","2193463250323.83","2388522431028.49","2559442370944.87","2575633551297.78","2803358677828.85","2974955344832.28","3087961712327.26","3232120155064.12","3306566747042.61","3216168972473.69","3141333107724.84",
"Barbados","BRB","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2237969450.98174","2222274401.97254","2143374750.84982","2211926224.34686","2304178935.36255","2399828554.75124","2540560133.259","2706529336.16039","2838237383.46857","2891062050.41301","3088518974.07328","3084121319.40771","3156240174.84998","3289073891.65162","3427056057.19365","3677580407.60479","4005437132.96369","4184583287.66803","4283565545.48073","4141681945.51694","4203372201.56849","4322598139.46303","4415358832.61338","4483431224.49555","4566582574.11767","4657332139.44247","4792370285.71094",
"Brunei Darussalam","BRN","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14162413937.8744","15094182874.3403","16172904605.5886","16608130559.1503","17495082540.9245","18659869330.6749","19547410416.9876","19589467240.8939","19691466873.1848","20603021669.3021","21672273336.5833","22774411458.8823","24019411800.0271","25209794211.9456","26033626780.5263","26975422917.601","29026929720.5407","29845498470.0439","29840677843.9092","29536750160.1467","30674522788.4179","32480415591.3426","33380677923.158","33198634079.3721","32998956310.6741","33164943526.5889","32772672526.3479",
"Bhutan","BTN","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","807467719.935313","830941297.341342","888985219.769416","928215150.100891","994907511.864074","1087506908.17278","1168986422.03893","1252888266.94654","1341385646.55363","1470647930.69414","1608393321.7217","1780002948.1246","2001215500.94871","2197559185.20423","2391126002.75453","2643853103.09401","2911729974.13034","3525063410.01063","3765596225.85911","4046781423.42001","4576726813.72953","5039821055.27253","5392970630.40252","5597477745.42739","6025050637.46244","6485191776.00077","6975645649.26914",
"Botswana","BWA","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7223077601.03648","8020179340.10369","8442290760.87556","8808767042.13168","9322604953.70943","10186131610.2874","10976756698.1776","12060758331.3858","12279671326.2512","13672861746.9144","14261949621.8302","14623516441.3049","15749209923.9298","16806327447.475","17735708187.2116","19140535946.8075","21378657594.497","23764167882.2704","25743618755.2084","23954182456.3117","26323148819.2679","28491602186.8884","30309452905.5277","34292608582.1564","36354928553.6392","36121418850.7299","37657768013.801",
"Central African Republic","CAF","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1771362951.01069","1820209676.81077","1742105066.95595","1789534125.69485","1917170136.81241","2098072237.90701","2050916734.87674","2196575882.11136","2324776994.27552","2445325701.40478","2438709624.19257","2605648733.10956","2741329688.62989","2645080017.47261","2880742045.84595","3000438943.1597","3240171990.04586","3479669083.97936","3620805764.55707","3710661655.2454","3870412845.06079","4080711501.63792","4326803265.11516","2783101445.53791","2862391719.04668","3032058545.48643","3211132867.51573",
"Canada","CAN","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","558816722642.658","565142895475.078","583129596299.343","612855674286.265","654022346738.947","685541305829.193","709302287086.741","752318791365.374","790002907846.55","843506520771.576","898024619550.475","934754350420.289","967558830682.98","1019620715104.12","1079987051623.94","1167581267653.45","1238000856192.8","1297164596823.72","1339060588630.82","1304488409235.99","1361137270766.35","1427466965184.4","1464565119752.66","1550271241830.07","1602420376607.17","1584685890086.46","1597516516504.69",
"Central Europe and the Baltics","CEB","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","761344055315.529","711061362581.499","714452095449.229","743406133670.13","790642959327.905","853968592490.257","907674016890.667","949490128702.752","989791611093.408","1022694711851.61","1083776492497.93","1164478736103.43","1241626523930.9","1316419192019.41","1433335112136.76","1516514381441.65","1682189777276.68","1860177229135.8","2052009802357.01","2048185216587.95","2169841536000.54","2308172476211.7","2384731704656.36","2485036832681.77","2591230679794.08","2698669465120.09","2794688397079.8",
"Switzerland","CHE","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","184836362767.085","189239475002.875","193468696456.127","197822308494.894","204597483185.106","209869103965.509","215690919010.323","225425405667.009","233759669665.517","241543843477.721","256298797887.84","266507694657.648","274505078549.036","276030971324.552","289199083298.023","300888797057.659","336415022055.679","373532770070.987","400107776302.05","399834543496.754","414217850206.717","442451269840.816","460544832254.119","483647350010.705","501374116772.063","517646744800.124","526449749807.872",
"Channel Islands","CHI","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60769579192.5666","67789146017.9642","78244371444.0986","86560582773.4914","94386047802.1525","107225564597.686","118519347104.323","128748862488.415","135394396265.024","136478903669.441","146647244011.618","154467884768.215","160891850868.123","170180776960.795","188125308824.608","206274402670.143","254770038945.817","278098065608.096","273636846329.396","273772307025.887","311943196570.633","350575241993.673","374241571983.029","394291936706.766","406567577943.388","418834466529.815","429122544147.48",
"China","CHN","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1119937699546.33","1264767410362.51","1477498491176.4","1722420215682.39","1988672946714.08","2252435999047.85","2521268146614.09","2801135411428.48","3053459681146.97","3337893886337.78","3703735543030.13","4104067493105.16","4547550454324.09","5103705636523.12","5774280247653.63","6639272569969.23","7713674311233.93","9045939220197.4","10113837808714.1","11148547476064.8","12484967820529.4","13957939641687.6","15331823826047.5","16788029504901.3","18335662798925.5","19811750781342.1","21417149856080.4",
"Cote d'Ivoire","CIV","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25323486247.1707","26177090434.8436","26708332257.2324","27291160591.3161","28098051895.3191","30728041174.8125","33707427086.1257","35567783077.8508","37726550583.7737","38923464147.9491","38985762279.3184","39922605253.016","39859480455.9552","40101591089.0438","41711816068.3431","43795016422.1551","45824775161.2498","47874676248.6701","50055049171.1185","52075061301.6215","53774598836.3684","52476906028.6953","59165494347.5907","65465432147.193","72497646364.8324","79992374716.5112","88139922333.6518",
"Cameroon","CMR","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21596990911.7897","21465928272.0388","21274641355.8698","20053151504.4073","20902492167.2655","22219380957.8087","23736334325.5017","25425557646.8522","26959670430.7983","28484176887.2714","30348201788.9054","32441028271.8155","34259579208.6634","36351273785.3473","38733505757.4521","40898087258.7001","43513650639.8759","46126055781.54","48387262244.5399","49696600512.5159","51947816706.1584","55215701705.029","58813179767.2226","63086849399.3358","68022404994.2305","72723626378.7014","77014883945.8838",
"Congo, Dem. Rep.","COD","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28647038672.3355","27107880775.3121","24814605298.391","21983196056.0813","21575438316.3129","22179609961.9412","22353432058.8919","21458919482.3687","21339495428.6185","20740887191.1977","19746845528.8115","19772687633.2375","20668022936.1518","22255968527.6215","24408873288.9752","26739968621.1456","29028033507.9672","31665924641.7283","34297249203.9116","35544357956.4591","38525355485.9947","42019985292.7179","45857150581.808","50560187760.0503","56359733042.6111","60886943157.5278","63048097764.8547",
"Congo, Rep.","COG","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8108227038.58772","8578796966.68439","9003536576.86095","9127449464.26049","8809646020.25147","9351802384.35256","9931086692.39688","10037944968.0193","10526127471.8348","10411246007.7191","11454858181.1973","12161412197.7406","12913879154.5714","13278507346.9355","14117968002.8571","15702420421.5754","17194126822.5472","17372430841.5809","18700237484.1495","20249558527.7202","22290692459.9217","23529134761.3866","24873129578.055","26144464868.3825","28416857415.6575","29482728887.1543","29313487937.0738",
"Colombia","COL","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","166873796725.497","176354802447.352","189452586341.59","198548578365.538","214607461759.865","230481160763.06","239513576559.014","251969496694.073","256155274210.202","249141670248.919","266073563933.271","276703300818.335","287986000427.438","305237688642.174","330356877670.274","357035290426.492","392651515088.77","430917812047.264","454954372409.911","465980311955.698","490405414019.866","533512971123.156","565312941430.359","602441503586.977","640170132016.063","666806167002.588","688817300978.93",
"Comoros","COM","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","425629993.70001","416067453.82878","461855430.514043","487057579.260762","471175391.560177","498367402.82886","500910596.095141","530017627.93726","542641793.703915","561546841.432756","636628152.175767","666326872.608039","692284249.682112","720945615.081098","754989440.248589","801393684.873587","847878415.887397","877408189.273452","898200402.453273","922669570.510442","954485238.55446","999520790.689932","1048470452.30015","1102692440.71349","1145575066.2002","1169654605.97792","1211108162.11379",
"Cabo Verde","CPV","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","366127313.339244","383625991.692719","435287089.540116","484451749.286538","589669857.644285","687518032.663875","779502548.631705","880995510.552964","1002030078.71614","1131539591.20283","1322605071.32851","1382934545.35524","1477895454.68533","1570317014.36804","1778025748.29576","1962096115.1267","2183838467.14877","2582078171.25397","2807818687.15961","2793200080.73774","2868785586.78554","3044224922.25246","3133843838.04161","3210020369.84865","3287462342.7692","3358255757.1554","3535755224.01164",
"Costa Rica","CRI","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15582452254.5383","16515224040.0763","18445152065.233","20222418026.0431","21579523340.6023","22937551651.8489","23645396862.6162","25388462980.2293","27450643061.8086","28969767627.2244","30735484481.7253","32533176738.6429","34119953252.4774","36281243855.006","38895503390.9083","41701060169.0323","46093166733.9502","51184898040.0594","54615523831.059","54496197524.5591","57893323066.3122","61633610781.5746","65779909102.7084","68358928475.9526","72127299822.5602","76346751085.5419","80699180138.5686",
